Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
92250	262	221	0	1	7	0	12	1038098	4	1	0	1344365	12	1427328	0	1112733	9	427191	0	421844	276151
92500	264	213	1	1	3	0	0	1052314	6	0	0	1353368	5	1431433	0	1122193	8	425316	0	424514	276956
92750	300	219	0	1	10	0	0	1048193	4	5	0	1354947	6	1451319	0	1117409	8	425959	0	422050	284910
93000	274	231	0	0	7	0	0	1056733	7	2	0	1359393	7	1441181	0	1129843	7	425404	0	423100	286915
93250	298	215	0	0	12	0	0	1048828	7	3	0	1363087	9	1442409	0	1128425	16	431509	0	426098	280305
93500	258	254	0	0	10	0	0	1065937	9	3	0	1366328	8	1446935	0	1135854	13	443606	1	426770	280075
93750	256	222	2	0	7	0	0	1056876	3	14	0	1371365	6	1450122	0	1133688	32	432187	1	436410	286019
94000	261	225	0	0	10	0	0	1056407	8	7	0	1376481	7	1458623	0	1131791	14	430634	0	440905	280138
94250	288	215	0	0	6	0	0	1064027	4	1	0	1381385	9	1461045	0	1133419	12	443002	0	432615	279601
94500	275	218	0	0	9	0	0	1071776	14	5	0	1384707	7	1463395	1	1151843	9	431352	0	432407	282447
94750	254	213	0	0	12	0	0	1087362	13	2	0	1390504	8	1465901	0	1145279	7	438831	0	433601	283268
95000	262	222	0	0	7	0	0	1116883	10	0	0	1395247	9	1466659	0	1145613	10	440426	0	438629	287089
95250	380	217	0	0	7	0	0	1108041	4	6	0	1399639	10	1468343	0	1148023	7	434091	0	440914	300997
95500	347	216	0	1	7	0	0	1077220	5	3	0	1407043	36	1468335	0	1139661	8	437599	0	438345	283703
95750	265	228	0	0	8	0	0	1080804	9	6	0	1406870	13	1476908	0	1147352	13	444917	0	445567	293439
96000	283	217	0	0	8	0	0	1080974	7	1	0	1413281	8	1474928	0	1143305	6	445923	0	441913	286298
96250	317	211	2	0	12	0	0	1092850	19	7	0	1417259	9	1478418	0	1145093	7	441305	0	445808	292703
96500	263	218	0	0	12	0	0	1103952	6	19	0	1423310	7	1494421	0	1152855	8	443811	0	444419	291882
96750	278	248	0	0	5	0	0	1103733	6	6	0	1427779	5	1505743	0	1158779	10	443449	0	446339	290939
97000	289	239	0	0	10	0	0	1099925	8	4	0	1435457	6	1509160	0	1151790	13	443846	0	459164	291858
97250	267	224	0	3	7	0	0	1101236	11	3	0	1437558	8	1516374	0	1163493	7	449834	0	455520	289408
97500	265	234	0	0	10	1	0	1099298	10	2	0	1441192	5	1504219	0	1167661	8	444579	0	448631	294329
97750	262	240	0	0	13	0	1	1103590	5	4	0	1444809	7	1521783	0	1166327	7	449384	0	452990	291620
98000	292	242	0	1	11	0	1	1104234	6	11	0	1449305	5	1526613	0	1171223	9	447733	0	453736	293813
98250	259	254	0	0	6	0	0	1109289	6	6	0	1456338	3	1516088	0	1177035	16	459460	0	456104	295368
98500	260	246	0	0	8	0	0	1114474	4	3	0	1458805	8	1521841	0	1178975	10	451226	0	472104	294279
98750	297	257	0	0	11	0	0	1114279	9	7	0	1464129	7	1523993	0	1182592	10	453007	0	458830	294842
99000	267	266	0	0	5	0	0	1145182	6	3	0	1468616	8	1528781	0	1193088	6	452427	0	471060	299276
99250	11242	244	0	0	7	0	0	1125955	6	2	0	1475586	6	1532517	0	1195669	9	460872	0	466054	300944
99500	458	246	0	0	8	0	0	1121296	43	5	0	1479024	4	1540851	15	1216533	6	469412	0	464916	296014
99750	264	242	0	0	26	0	0	1127602	40	7	0	1484249	6	1547551	0	1197436	9	455828	0	468251	297231
100000	253	257	0	0	10	0	0	1125093	8	5	0	1489166	5	1549701	0	1227932	7	464651	0	476689	322803
100250	245	854	0	0	13	1	0	1124521	9	5	16	1493337	2	1554059	0	1214781	7	458156	0	473965	309921
100500	253	237	0	0	8	0	0	1133188	7	2	0	1498088	11	1557202	0	1215151	8	470163	0	471934	299394
100750	275	230	0	0	9	0	0	1130673	8	3	0	1506242	8	1553424	0	1219750	13	469302	0	468021	300069
101000	319	248	0	0	11	1	0	1139272	11	5	0	1507883	2	1557761	0	1227385	9	464123	0	472876	301584
101250	309	242	0	0	6	0	0	1138858	9	4	0	1513278	7	1565025	0	1226953	12	463140	0	478564	305106
101500	319	263	2	0	4	0	0	1158333	30	4	0	1522139	8	1562948	0	1239834	10	468858	0	485188	304042
101750	294	252	0	0	8	0	0	1150865	10	4	0	1559371	6	1568897	0	1244841	8	468523	0	477152	306064
102000	306	245	1	2	10	0	0	1145970	8	18	0	1533894	6	1572052	0	1249791	31	496672	0	494041	304908
102250	317	252	0	0	10	0	0	1161866	7	4	0	1535874	3	1576962	0	1248123	18	479390	0	480666	305446
102500	300	271	0	0	9	0	0	1156149	9	35	0	1538071	2	1582165	0	1253569	6	474285	0	481055	310781
102750	307	264	0	0	12	0	0	1158077	12	5	0	1544011	3	1579887	0	1258979	8	471567	0	481596	305916
103000	308	253	2	0	7	0	0	1165389	10	7	0	1548959	3	1588792	0	1266692	7	479446	0	492461	306111
103250	278	259	0	0	13	0	0	1159376	8	10	0	1559259	4	1591845	0	1270772	12	476728	0	485638	309517
103500	277	266	0	0	6	0	0	1161120	12	12	0	1563378	5	1594517	0	1269570	6	479131	0	488443	308263
103750	265	288	0	0	12	0	0	1164767	2	17	0	1567731	4	1596844	0	1279134	8	476666	0	493264	309344
104000	275	301	0	13	4	0	0	1170613	12	28	0	1570686	8	1608662	0	1282527	9	479277	0	497656	311193
104250	3	8	0	0	0	0	0	13960	0	3	0	18950	0	25486	0	15276	0	5838	1	7901	3691

